Id|Title|Problem Statement|Team Mgmt Received Date|Executive Summary|Status|Process Step|Resolution Group|Primary Council POC - Name|Secondary Resolution Group|Secondary Council POC - Name|Reporting Organization|Facility|Submitter - Name|Ticket Numbers|Notes/Updates|Source|Scope of Impact|Intake POC - Name|Desired Outcome|The Ask|Team Mgmt POC|Modified|ID Plus Title|PIT - # of Days till Next Update|Risk Score|SME POCs
7|Clarify ownership for specialty referral queue handoffs|Facility staff reported that specialty referral requests were moving between teams without a clear owner. Several entries were being reworked after intake because routing notes did not explain which team was expected to act next.|2022-12-23|The record documents a routing concern where referral handoffs need clearer ownership and a consistent review path. The current status and assigned groups should be used to determine whether the item is ready for closure or needs one more decision point. Current status is Pending Closure and no process step is currently assigned.|Pending Closure||Platform Vendor||Patient Engagement & Virtual Health|Collins, Iris Y.|Region 40|Grand Avenue Care Campus|Wood, Alex|HR10007|2022-12-23 - Reviewed intake details and confirmed the issue is still aligned to the current owner. HR10007 was used as the ticket reference for this update.; 2022-12-26 - Record remains aligned to the current status.|App|Unique to report facility||A documented handoff process that tells intake staff which group owns the next action and when the issue can be closed.|Confirm the accountable group for referral queue follow-up, document the handoff criteria, and identify whether any open ticket needs to remain linked to the issue.||2023-11-14 13:03:20|7 - Clarify ownership for specialty referral queue handoffs|No Date|390|Wood, Alex;Platform Vendor;Wright, Alex Z.
8|Resolve inconsistent appointment slot review timing|Scheduling leads described different expectations for when appointment slot issues should be reviewed, which created inconsistent updates and duplicate follow-up. The issue appears to be procedural rather than a single system defect.|2024-01-15|This item tracks the review of appointment scheduling practices across the involved team. The record should show that closure was based on a shared understanding of timing expectations, not only on ticket completion. Current status is Closed and the current process step is Coordinating with Enterprise.|Closed|Coordinating with Enterprise|Acute Care Delivery||Quality, Safety, and Value|Wilson, Wendy K.|||Wright, Brianna M.|OPS-10008;ICT10025;CASE-10042|2024-01-16: Confirmed coordination path with the listed group and noted the expected follow-up. OPS-10008 was used as the ticket reference for this update.; 2024-01-20: Updated after checking prior notes. Waiting on the assigned group to confirm timing.|External Intake Channel|All Facilities/All Regions|Carter, Renee D.|A consistent review cadence that reduces duplicate messages and gives teams a shared point of reference.|Review the appointment slot review process, confirm the expected timing for updates, and document whether the existing guidance is sufficient.|Wilson, Kara C.|2024-07-28 11:26:59|8 - Resolve inconsistent appointment slot review timing|Overdue||Acute Care Delivery;Young, Brianna
9|Define standard interpretation for access reporting questions|Report users were applying different assumptions to the same access measures, which led to conflicting summaries for leadership review. The concern is focused on interpretation and documentation rather than source data availability.|2022-08-12|The issue captures the need for a common explanation of access reporting measures. The response should make the report logic understandable enough that future questions can be handled without separate escalation. Current status is Pending Closure and no process step is currently assigned.|Pending Closure|||Wright, Erica T.|||||Young, Elliot N.||2022-08-14 - Checked the issue description against the current status and noted no conflicting information. Updated after comparing the request to the current workflow step.; 2022-08-19 - No data conflict noted in this review.|App||Hayes, Jamal Z.|A shared interpretation note that can be reused by reporting staff and leadership reviewers.|Provide a plain-language interpretation standard for the access report and identify where that standard should be maintained.||2023-05-09 12:31:28|9 - Define standard interpretation for access reporting questions|No Date|632|Adams, Elliot B.
10|Reconcile training completion records before rollout review|Training completion totals did not match across local tracking and enterprise summary views. Teams needed a way to determine which list should be treated as authoritative before readiness discussions continued.|2024-03-18|This item follows a reconciliation question tied to training readiness. The decision should explain how completion discrepancies are resolved and what evidence is needed before the record moves forward. Current status is Intake and no process step is currently assigned.|Intake||Bed Management|Carter, Jamal C.|Integrated Veteran Care|Hughes, Renee M.|||Adams, Jamal||2024-03-21 - Manager review completed, record should stay visible until the next action is documented.; 2024-03-27 - Noted for follow-up during the next review cycle.; 2024-04-01 - Keep visible for the next leadership review cycle.|External Intake Channel;Region 30||Foster, Alex J.|A reliable completion view that readiness reviewers can use without manually comparing separate lists.|Compare the available training completion sources, identify the authoritative record, and document the reconciliation approach for future updates.|Wood, Noah|2024-04-20 04:53:30|10 - Reconcile training completion records before rollout review|Overdue||Bed Management;Baker, Jamal C.
11|Review supply visibility gaps affecting daily coordination|Operational staff noted that inventory status was not visible early enough for daily coordination calls. The lack of timely visibility increased manual outreach and made it difficult to tell whether the issue was local or broader.|2024-05-17|The issue documents a supply visibility concern that needs review by the assigned support group. The record should distinguish between a reporting gap, a process gap, and a one-time data delay. Current status is Deleted/Error and no process step is currently assigned.|Deleted/Error||||||||Baker, Marcus Q.|REQ10011|2024-05-21: Reviewed the linked ticket trail and confirmed the record still needs local context. Ticket activity and issue status are currently aligned. Referenced REQ10011 during review.|Sprint List|All Facilities/All Regions|Gray, Jamal M.|A clear path for confirming inventory status without repeated manual escalation.|Determine whether the inventory visibility issue requires a process change, a reporting update, or closure as a one-time discrepancy.|Fisher, Keith Q.|2024-07-11 02:51:43|11 - Review supply visibility gaps affecting daily coordination|No Date||Baker, Marcus Q.;Bennett, Marcus
12|Create exception path for unresolved reconciliation mismatches|Data mismatches were being reviewed one at a time without a standard exception path. This made it hard to determine when an issue should stay monitored and when it needed active resolution.|2022-08-14|This record captures an exception-handling gap in reconciliation work. The current monitored status should reflect that the issue remains visible while the team determines whether further action is needed. Current status is Monitored and the current process step is Intake Pending.|Monitored|Intake Pending|Emergency Medicine||Community Data Integration|Robinson, Zane Z.|||Bennett, Priya R.|INT-10012|2022-08-19 - Clarified transfer expectations and documented the group expected to respond next. Checked INT-10012 and kept it linked to this issue.; 2022-08-27 - No additional handoff details requested at this time.|App||Russell, Diana||Define an exception path for reconciliation mismatches and clarify what evidence moves an item from monitoring to active work.||2023-03-06 20:28:06|12 - Create exception path for unresolved reconciliation mismatches|No Date|437|Emergency Medicine;Brooks, Priya E.
14|Add missing documentation for cross-team workflow handoffs|Several workflow handoffs lacked enough context for the receiving team to continue work without follow-up questions. This created avoidable delays and made status notes less useful for leadership review.|2023-07-17|The issue is focused on improving handoff documentation between groups. The record should show whether a documentation update is sufficient or whether ownership needs to be reassigned. Current status is Pending Closure and no process step is currently assigned.|Pending Closure||||||||Brooks, Theo||2023-07-23: Need confirmation on whether this should continue as active work or move to monitoring.; 2023-08-01: Noted for follow-up during the next review cycle. Follow-up remains open.|Region 40|Multiple Regions|Mitchell, Jordan A.||Identify the minimum handoff information required and confirm where that information should be captured before transfer.||2023-10-15 01:44:17|14 - Add missing documentation for cross-team workflow handoffs|Overdue||Bryant, Theo F.
15|Reduce duplicate triage from shared mailbox requests|Mailbox requests were occasionally reviewed by more than one team because the intake notes did not show whether triage was already complete. Users could not easily tell which request was the active thread.|2024-04-17|This item tracks duplicate triage activity tied to shared mailbox intake. The review should focus on practical changes that make ownership and current action visible. Current status is Pending Closure and no process step is currently assigned.|Pending Closure||Prosthetics & Sensory Aid Services||Solution Expert|Collins, Rafael Z.|Enterprise||Bryant, Zane T.|DATA-10015;PRJ10032|2024-04-24 - Record appears close to closure, but final validation is still pending. Noted for follow-up during the next review cycle. Checked DATA-10015 and kept it linked to this issue.; 2024-05-04 - Pending final review before the record is closed.|App|||Fewer duplicate reviews and a clear signal showing which team owns the active request.|Confirm how mailbox requests should be marked after triage and decide whether related tickets should be linked or closed.|Lee, Erica M.|2024-06-01 13:51:41|15 - Reduce duplicate triage from shared mailbox requests|Overdue|607|Prosthetics & Sensory Aid Services;Campbell, Zane
16|Clarify documentation review criteria for regional submissions|Regional submissions were being returned with different comments depending on the reviewer. The inconsistency made it difficult for submitters to know whether they had met the expected documentation standard.|2022-12-20|The record captures a need for clearer review criteria. The response should help reviewers apply the same standard and help submitters understand what is missing before resubmission. Current status is Monitored and no process step is currently assigned.|Monitored|||Rivera, Hannah W.|||Region 30|Lakeside Care Campus|Campbell, Blake V.|PRJ10016;QA-10033;SYS10050|2022-12-28 - Risk context updated based on current scope and status information. Checked PRJ10016 and kept it linked to this issue.; 2023-01-08 - Updated after comparing the request to the current workflow step.; 2023-01-18 - Continue monitoring for broader impact.|Enterprise|All Facilities/All Regions||A consistent review checklist that reduces rework and shortens the time to acceptance.|Define the required documentation elements, confirm the review standard, and share the criteria with the affected submitters.|Hughes, Felix|2024-07-24 19:29:48|16 - Clarify documentation review criteria for regional submissions|No Date||Campbell, Blake V.;Carter, Blake H.
17|Align capacity tracking assumptions across reporting teams|Capacity figures were being interpreted differently because teams used different assumptions about open slots, unavailable time, and pending changes. Leadership summaries could not be compared reliably.|2024-01-15|This issue tracks alignment of capacity reporting assumptions. The decision should identify the assumptions that must be shared before the data is used for planning. Current status is Deleted/Error and no process step is currently assigned.|Deleted/Error|||Scott, Casey C.|||Region 30|Pine River Outpatient Center|Carter, Diana|QA-10017;SYS10034;TRN-10051|2024-01-24: Requested an updated response from the responsible group before the next review. Follow-up owner should update the record before the next cycle. QA-10017 was used as the ticket reference for this update.|Readiness Assessment||Clark, Julia||Review the capacity tracking assumptions and publish a single interpretation for teams preparing leadership updates.|Hughes, Felix|2024-02-27 09:13:24|17 - Align capacity tracking assumptions across reporting teams|Overdue||Clark, Diana J.
18|Close duplicate system access routing request|A system access request was submitted through more than one intake path, and the duplicate records created confusion about which action was still open. The core request appears to have already been handled elsewhere.|2023-05-03|The record documents a duplicate or related access-routing issue. The closeout should preserve the related ticket reference and explain why no additional action is needed in this list. Current status is Closed and no process step is currently assigned.|Closed||Ambulatory Council||Health Professions Trainees||||Clark, Iris X.||2023-05-13 - Regional context reviewed and reflected in the current notes.; 2023-05-26 - Scope should be revisited if another region reports the same concern.|App|All Facilities/All Regions|||Confirm the active access request record, link the related reference, and close this duplicate entry if no separate action remains.|Foster, Robin S.|2024-05-02 03:37:10|18 - Close duplicate system access routing request|No Date|1883|Ambulatory Council;Coleman, Iris
